omega,tau,n,m,c_ratio,q,num_seeds,babai_secret_success_rate,avg_time_sec
0.5,0.25,9,16,1.75,17,200,0.945,0.10093052983283997
0.5,0.25,9,18,2.0,17,200,0.96,0.1632113575935364
0.5,0.25,9,21,2.25,17,200,0.97,0.2749385130405426
0.5,0.25,9,23,2.5,17,200,0.975,0.3608900892734528
0.5,0.25,9,25,2.75,17,200,0.99,0.4198129105567932
0.5,0.25,9,27,3.0,17,200,0.975,0.500828378200531
0.5,0.25,10,10,1.0,17,200,0.035,0.002348272800445557
0.5,0.25,10,13,1.25,17,200,0.44,0.02983590364456177
0.5,0.25,10,15,1.5,17,200,0.73,0.06401675581932068
0.5,0.25,10,18,1.75,17,200,0.895,0.14573588132858276
0.5,0.25,10,20,2.0,17,200,0.95,0.21439254641532898
0.5,0.25,10,23,2.25,17,200,0.97,0.35088659763336183
0.5,0.25,10,25,2.5,17,200,0.955,0.44033807396888736
0.5,0.25,10,28,2.75,17,200,0.96,0.5841204524040222
0.5,0.25,10,30,3.0,17,200,0.96,0.677965327501297
